name-of-company,name-of-job,location,salary,date,application-link
Tesla,Internship Frontend Software Engineer UI Design (Winter/Spring 2024),Hawthorne CA,$124K - $192K (Glassdoor est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=225&ao=1136043&s=58&guid=0000018a92177d1a98e0a27265d7b02d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2a10c379&cb=1694668163015&jobListingId=1008789108472&jrtk=5-yul1-3-1ha91g1s2k7dj801-1ha91eva7ikov801
SiO Digital,Web Design and Development Intern,San Diego CA,$55K - $91K (Glassdoor est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=228&ao=1136043&s=58&guid=0000018a92177d1a98e0a27265d7b02d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_daed6928&cb=1694668165745&jobListingId=1006337644685&jrtk=5-yul1-3-1ha91g4hg2gtl001-1ha91eva7ikov801
PIMCO,2024 Summer Intern - Technology Analyst Software Engineering US,Newport Beach CA,$14K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=312&ao=1136043&s=58&guid=0000018a92181e11a765abd4a8bbd1fe&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1c8a29f5&cb=1694668186449&jobListingId=1008646590213&jrtk=5-yul1-3-1ha91goo4k5pg801-1ha91g7i6ikd4800
AeroVironment,Engineering Intern Software,Simi Valley CA,$21.00 - $31.00 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=319&ao=1136043&s=58&guid=0000018a92181e11a765abd4a8bbd1fe&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_32ac456a&cb=1694668194390&jobListingId=1008290530573&jrtk=5-yul1-3-1ha91h0gk2cfu001-1ha91g7i6ikd4800
Noveda Technologies Inc,Software Engineering & Application Development Internship Program for Students,San Diego CA,$75K - $110K (Glassdoor est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=325&ao=1136043&s=58&guid=0000018a92181e11a765abd4a8bbd1fe&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8cbb19bf&cb=1694668200721&jobListingId=1005663870962&jrtk=5-yul1-3-1ha91h6mdk6r8801-1ha91g7i6ikd4800
Relativity Space Intern Job Board,Software Engineer Intern-Summer 2024,Long Beach CA,$28.00 - $36.00 Per Hour (Employer est.),20d,https://www.glassdoor.com/partner/jobListing.htm?pos=329&ao=1136043&s=58&guid=0000018a92181e11a765abd4a8bbd1fe&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b62a2ac9&cb=1694668205629&jobListingId=1008832289017&jrtk=5-yul1-3-1ha91hbfv2gth001-1ha91g7i6ikd4800
Tesla,Internship Digital Design Developer Design Studio (Winter/Spring 2024),Hawthorne CA,$100K - $156K (Glassdoor est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=410&ao=1136043&s=58&guid=0000018a9218b67eb2604a0ade74ed9a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7798193d&cb=1694668221866&jobListingId=1008806286946&jrtk=5-yul1-3-1ha91hrb6jqsi801-1ha91hdlgikd4800
Lunar Digital Assets,Front End UI/UX Development Intern,Los Angeles CA,,30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=414&ao=1136043&s=58&guid=0000018a9218b67eb2604a0ade74ed9a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_bbbe258f&cb=1694668225916&jobListingId=1008116975762&jrtk=5-yul1-3-1ha91hv9mk7co801-1ha91hdlgikd4800
Infineon Technologies,Intern - Firmware Development Power Electronics Engineering,El Segundo CA,$32.50 Per Hour (Employer est.),8d,https://www.glassdoor.com/partner/jobListing.htm?pos=419&ao=1136043&s=58&guid=0000018a9218b67eb2604a0ade74ed9a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3e5a8a4d&cb=1694668231131&jobListingId=1008853860643&jrtk=5-yul1-3-1ha91i4cdiqtj801-1ha91hdlgikd4800
Comentum Corp,Intern Developer: Web Application / Mobile App,San Diego CA,,30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=421&ao=1136043&s=58&guid=0000018a9218b67eb2604a0ade74ed9a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_68d3cb68&cb=1694668233067&jobListingId=1005868193108&jrtk=5-yul1-3-1ha91i69ak5ph801-1ha91hdlgikd4800
Broadata Communications,Part Time Intern in Embedded Software Engineering,Torrance CA,$20.00 - $24.00 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=424&ao=1136043&s=58&guid=0000018a9218b67eb2604a0ade74ed9a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_83c78040&cb=1694668236282&jobListingId=1008654832170&jrtk=5-yul1-3-1ha91i9cm2eeb001-1ha91hdlgikd4800
Relativity Space Intern Job Board,Test Engineer Intern - Electrical and Software [Long Beach] - Summer 2024,Long Beach CA,$28.00 - $36.00 Per Hour (Employer est.),20d,https://www.glassdoor.com/partner/jobListing.htm?pos=510&ao=1136043&s=58&guid=0000018a921954a8a171b8babaec11f0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5472baca&cb=1694668266942&jobListingId=1008832698767&jrtk=5-yul1-3-1ha91j7c9j4q5801-1ha91il6kjqv9800
Futronics (NA) Corporation,Software Engineering Intern,Pasadena CA,$71K - $107K (Glassdoor est.),30d+,
DoorDash,Software Engineer Intern (Summer 2024),Los Angeles CA,,26d,https://www.glassdoor.com/partner/jobListing.htm?pos=522&ao=1136043&s=58&guid=0000018a921954a8a171b8babaec11f0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b06acb35&cb=1694668282762&jobListingId=1008820206253&jrtk=5-yul1-3-1ha91jmnvk7eo801-1ha91il6kjqv9800
PRICE WATERHOUSE COOPERS,Consulting – Products & Solutions – Software Engineering Intern - Summer 2024,San Diego CA,$75K - $106K (Glassdoor est.),18d,https://www.glassdoor.com/partner/jobListing.htm?pos=527&ao=1136043&s=58&guid=0000018a921954a8a171b8babaec11f0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_95fde844&cb=1694668287836&jobListingId=1008834913825&jrtk=5-yul1-3-1ha91jrocjga2801-1ha91il6kjqv9800
